tt0000009	1	nm0063086	actress	\N	["Miss Geraldine Holbrook (Miss Jerry)"]
tt0000009	2	nm0183823	actor	\N	["Mr. Hamilton"]
tt0000009	3	nm1309758	actor	\N	["Chauncey Depew - the Director of the New York Central Railroad"]
tt0000009	4	nm0085156	director	\N	\N
tt0000147	1	nm0179163	self	\N	["Self"]
tt0000147	2	nm0280615	self	\N	["Self"]
tt0000147	3	nm4082222	self	\N	["Self - Sullivan's Manager"]
tt0000147	4	nm4081458	self	\N	["Self - Referee"]
tt0000147	5	nm0714557	director	\N	\N
tt0000147	6	nm0103755	producer	producer	\N
tt0000147	7	nm2256592	self	\N	["Self - Master of Ceremonies"]
tt0000502	1	nm0215752	actor	\N	\N
tt0000502	2	nm0252720	actor	\N	\N
tt0000502	3	nm0063413	director	\N	\N
tt0000502	4	nm0657268	writer	\N	\N
tt0000502	5	nm0675388	writer	\N	\N
tt0000574	10	nm0675239	cinematographer	director of photography	\N
tt0000574	1	nm0846887	actress	\N	["Kate Kelly"]
tt0000574	2	nm0846894	actor	\N	["School Master"]
tt0000574	3	nm1431224	actor	\N	["Joe Byrne"]
tt0000574	4	nm3002376	actor	\N	["Steve Hart"]
tt0000574	5	nm0846879	director	\N	\N
tt0000574	6	nm0317210	producer	producer	\N
tt0000574	7	nm0425854	producer	producer	\N
tt0000574	8	nm0846911	producer	producer	\N
tt0000574	9	nm2421834	composer	\N	\N
tt0000591	1	nm0906197	actor	\N	\N
tt0000591	2	nm0332182	actor	\N	\N
tt0000591	3	nm1323543	actress	\N	\N
tt0000591	4	nm1759558	actress	\N	\N
tt0000591	5	nm0141150	director	\N	\N
tt0000615	1	nm3071427	actor	\N	["Warrigal"]
tt0000615	2	nm0581353	actor	\N	["Warder"]
tt0000615	3	nm0888988	actor	\N	["Inspector of Police"]
tt0000615	4	nm0240418	actor	\N	["Trooper"]
tt0000615	5	nm0533958	director	\N	\N
tt0000615	6	nm0092809	writer	novel	\N
tt0000615	7	nm0167619	cinematographer	\N	\N
tt0000615	8	nm0346387	actor	\N	["Curate"]
tt0000615	9	nm0218953	actress	\N	\N
tt0000630	1	nm0624446	actress	\N	["Ofelia"]
tt0000630	2	nm0143333	director	\N	\N
tt0000630	3	nm0000636	writer	play "Hamlet"	\N
tt0000630	4	nm0209738	producer	producer	\N
tt0000675	1	nm0194088	director	\N	\N
tt0000675	2	nm0148859	writer	novel	\N
tt0000679	1	nm0000875	actor	\N	["The Wizard of Oz Man"]
tt0000679	2	nm0122665	actor	\N	["His Majesty the Scarecrow","Para Bruin - the Rubber Bear"]
tt0000679	3	nm0933446	actor	\N	["Nick Chopper - Tin Woodman","The White Rabbit"]
tt0000679	4	nm2924919	actor	\N	["Tik-Tok - the Machine Man"]
tt0000679	5	nm0091767	director	\N	\N
tt0000679	6	nm0877783	director	\N	\N
tt0000679	7	nm0542903	composer	\N	\N
tt0000838	1	nm0017074	director	\N	\N
tt0000842	1	nm0005717	director	\N	\N
tt0000846	1	nm0023107	director	\N	\N
tt0000850	1	nm0063413	director	\N	\N
tt0000850	2	nm0550220	director	\N	\N
tt0000850	3	nm0063412	cinematographer	\N	\N
tt0000859	1	nm0005717	director	\N	\N
tt0000862	10	nm5289318	actor	\N	["Doktor"]
tt0000862	1	nm5289829	actor	\N	["Charles"]
tt0000862	2	nm0264569	actress	\N	["Gervaise"]
